cbg,populationE,med_ageE,bachelor_degree_25E,med_hh_incomeE,whiteE,blackE,asianE,hispanicE,geometry
360610041005,1243,35.7,0.37811745776347544,80625.0,0.36363636363636365,0.0,0.5559131134352373,0.08286403861625101,"POLYGON ((-73.999423 40.71868, -73.999234 40.718913, -73.998524 40.719786, -73.997655 40.720836, -73.997349 40.720704999999995, -73.996836 40.720504999999996, -73.997303 40.719324, -73.997373 40.719169, -73.997559 40.718793999999995, -73.99774 40.718469999999996, -73.997931 40.718157999999995, -73.998589 40.717099, -73.999313 40.717549999999996, -73.999956 40.718016999999996, -73.999423 40.71868))"
360610041003,1847,36.7,0.32809962100703843,85250.0,0.26800216567406604,0.0,0.6572820790471035,0.051434759068760154,"POLYGON ((-73.997108 40.71787, -73.99693599999999 40.718133, -73.996771 40.718416999999995, -73.99663199999999 40.718691, -73.996512 40.718962, -73.996478 40.719048, -73.99602999999999 40.720181, -73.99526 40.719867, -73.995699 40.718776999999996, -73.995755 40.718637, -73.995879 40.718365999999996, -73.996008 40.718115, -73.99616499999999 40.717845, -73.996327 40.717596, -73.996984 40.716541, -73.99776299999999 40.716814, -73.997108 40.71787))"
360610041001,984,35.8,0.5772357723577236,170508.0,0.608739837398374,0.0,0.391260162601626,0.0,"POLYGON ((-73.995966 40.720344, -73.995752 40.720893, -73.995464 40.721619, -73.994706 40.721308, -73.99379499999999 40.720937, -73.994035 40.720323, -73.994378 40.719519, -73.994721 40.719654, -73.99526 40.719867, -73.99602999999999 40.720181, -73.995966 40.720344))"
360610041002,933,48.4,0.3054662379421222,62422.0,0.1489817792068596,0.0,0.7888531618435155,0.0,"POLYGON ((-73.996327 40.717596, -73.99616499999999 40.717845, -73.996008 40.718115, -73.995879 40.718365999999996, -73.995755 40.718637, -73.995699 40.718776999999996, -73.99526 40.719867, -73.994721 40.719654, -73.994378 40.719519, -73.994422 40.719392, -73.99480799999999 40.718457, -73.995429 40.717279, -73.996059 40.716232, -73.996984 40.716541, -73.996327 40.717596))"
360610041006,1151,24.7,0.32232841007819285,102206.0,0.45091225021720244,0.03909643788010426,0.4456993918331885,0.08601216333622937,"POLYGON ((-73.997574 40.721029, -73.997399 40.721449, -73.997123 40.722301, -73.996268 40.721952, -73.995464 40.721619, -73.995752 40.720893, -73.995966 40.720344, -73.99602999999999 40.720181, -73.996836 40.720504999999996, -73.997349 40.720704999999995, -73.997655 40.720836, -73.997574 40.721029))"
360610041004,1893,38.3,0.4152139461172742,52959.0,0.3201267828843106,0.07606973058637084,0.5699947173798204,0.07606973058637084,"POLYGON ((-73.997931 40.718157999999995, -73.99774 40.718469999999996, -73.997559 40.718793999999995, -73.997373 40.719169, -73.997303 40.719324, -73.996836 40.720504999999996, -73.99602999999999 40.720181, -73.996478 40.719048, -73.996512 40.718962, -73.99663199999999 40.718691, -73.996771 40.718416999999995, -73.99693599999999 40.718133, -73.997108 40.71787, -73.99776299999999 40.716814, -73.998589 40.717099, -73.997931 40.718157999999995))"
360610226003,1706,39.6,0.2661195779601407,41375.0,0.21922626025791325,0.6096131301289566,0.031652989449003514,0.2033997655334115,"POLYGON ((-73.947947 40.81458, -73.94748899999999 40.815207, -73.947034 40.81583, -73.944193 40.814634, -73.944649 40.814009, -73.94510199999999 40.813387999999996, -73.945568 40.812751999999996, -73.94709399999999 40.813387, -73.947694 40.813635999999995, -73.948419 40.813938, -73.947947 40.81458))"
360610226002,1189,35.2,0.375946173254836,53125.0,0.2682926829268293,0.3994953742640875,0.0656013456686291,0.25988225399495374,"POLYGON ((-73.945984 40.812183, -73.945568 40.812751999999996, -73.94510199999999 40.813387999999996, -73.94475899999999 40.813244999999995, -73.944485 40.813131, -73.942703 40.81239, -73.94224899999999 40.812200999999995, -73.94272099999999 40.811568, -73.94317199999999 40.810942, -73.94603099999999 40.812118999999996, -73.945984 40.812183))"
360610076001,1583,30.5,0.6929879974731522,106181.0,0.3979785217940619,0.04801010739102969,0.5375868603916614,0.03663929248262792,"POLYGON ((-73.988714 40.748512999999996, -73.98827 40.749148, -73.987973 40.749491, -73.98778 40.749772, -73.98729399999999 40.750451, -73.986794 40.750240999999995, -73.98442 40.749246, -73.984076 40.749102, -73.98456 40.748439, -73.985046 40.747772999999995, -73.985496 40.747152, -73.98594899999999 40.746536, -73.988305 40.747535, -73.989166 40.747895, -73.988714 40.748512999999996))"
360610076002,408,43.5,0.6299019607843137,249097.0,0.5906862745098039,0.0,0.30637254901960786,0.056372549019607844,"POLYGON ((-73.990067 40.746659, -73.989617 40.747277, -73.989166 40.747895, -73.988305 40.747535, -73.98594899999999 40.746536, -73.98639299999999 40.745920999999996, -73.986846 40.745301, -73.987298 40.744682, -73.98872899999999 40.745286, -73.990518 40.746038, -73.990067 40.746659))"
360610081002,1474,40.4,0.6180461329715061,130270.0,0.9023066485753053,0.03459972862957938,0.0,0.13161465400271372,"POLYGON ((-74.00112899999999 40.741668, -74.000703 40.742253999999996, -73.99814599999999 40.741175999999996, -73.997862 40.741056, -73.99828699999999 40.740469999999995, -73.998713 40.739881, -74.001555 40.74108, -74.00112899999999 40.741668))"
360610081001,1613,38.0,0.7309361438313701,178162.0,0.8350898946063237,0.03967761934283943,0.12523248605083695,0.09609423434593925,"POLYGON ((-73.99828699999999 40.740469999999995, -73.997862 40.741056, -73.995018 40.73986, -73.995446 40.739272, -73.995874 40.738686, -73.998713 40.739881, -73.99828699999999 40.740469999999995))"
360610093002,1812,52.2,0.7262693156732892,110329.0,0.8278145695364238,0.025386313465783666,0.04690949227373068,0.05518763796909492,"POLYGON ((-74.00132599999999 40.746491999999996, -74.00110000000001 40.746801, -74.00084799999999 40.747147, -74.000795 40.747121, -74.000694 40.747062, -74.000586 40.746983, -74.000491 40.746894999999995, -74.000407 40.746790999999995, -74.00035 40.746696, -74.000256 40.746609, -74.00013899999999 40.746514999999995, -73.999978 40.746407, -73.999811 40.746314, -73.999624 40.746229, -73.99944599999999 40.746164, -73.999263 40.746112, -73.999107 40.746078, -73.998908 40.746047, -73.99873 40.746032, -73.998605 40.746046, -73.998424 40.746046, -73.99827499999999 40.746027999999995, -73.998142 40.745998, -73.998009 40.745951999999996, -73.998486 40.745294, -73.998972 40.74463, -74.001812 40.745826, -74.00132599999999 40.746491999999996))"
